Class,Role,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,y
Fighter,TOP,27.23,3.34,49.98%,22.86%,0.17%,0.13%,2.44,D
Support,SUPPORT,56.19,-1.08,52.80%,97.00%,4.56%,0.87%,2.98,A
Support,SUPPORT,60.47,-1.67,51.92%,94.02%,6.45%,3.62%,2.78,A
Mage,ADC,42.2,0.87,53.42%,19.62%,0.44%,1.61%,2.86,B
Mage,MID,40.46,-3.56,50.58%,12.07%,0.37%,1.61%,2.57,B
Mage,SUPPORT,36.23,-3.83,48.42%,62.39%,2.46%,1.61%,2.26,C
Mage,MID,60.12,1.14,50.02%,74.88%,6.53%,3.82%,2.17,A
Mage,TOP,33.63,0.6,48.77%,21.83%,1.88%,3.82%,1.82,C
Mage,MID,46.39,-2.88,48.47%,89.34%,3.72%,1.02%,2.24,B
Support,TOP,53.77,-38.03,49.70%,59.04%,3.14%,10.96%,2.38,A
Support,ADC,45.89,0,54.76%,13.21%,0.43%,10.32%,2.97,B
Support,SUPPORT,35.63,0,49.61%,30.90%,1.31%,10.32%,2.35,C
Mage,JUNGLE,38.71,1.91,50.60%,63.81%,1.09%,0.16%,2.63,B
Mage,MID,37.66,-1.2,49.76%,14.52%,0.24%,0.15%,2.46,C
Mage,SUPPORT,35.37,-7.03,51.83%,19.17%,0.28%,0.15%,2.13,C
Assassin,MID,48.19,4.72,51.05%,51.78%,2.65%,7.51%,2.17,A
Assassin,JUNGLE,35.23,-25.96,48.07%,45.81%,2.16%,7.51%,2.29,C
Support,SUPPORT,36.84,-5.42,49.84%,89.38%,1.16%,0.13%,2.72,C
Marksman,TOP,67.13,4.39,50.80%,84.86%,4.82%,9.04%,1.72,S
Support,SUPPORT,68.46,-1.03,48.11%,99.31%,11.13%,5.27%,2.51,S
Marksman,ADC,44.22,3.93,49.89%,85.54%,5.92%,2.47%,2.36,B
Marksman,MID,39.85,4.75,51.04%,11.72%,0.67%,2.47%,2.08,B
Fighter,JUNGLE,54.58,-0.54,52.39%,67.50%,4.07%,3.16%,2.83,A
Fighter,TOP,39.81,-4.22,51.99%,27.46%,1.72%,3.37%,1.72,B
Fighter,TOP,83.59,6.98,50.31%,81.76%,6.29%,16.10%,1.87,God
Fighter,MID,37.3,-1.01,48.85%,14.11%,1.00%,16.10%,2.11,C
Mage,MID,51.91,2.33,49.53%,94.14%,4.49%,1.11%,2.33,A
Marksman,ADC,48.3,-2.47,51.80%,79.30%,5.71%,3.75%,2.42,A
Fighter,JUNGLE,39.9,2.92,50.40%,94.68%,1.61%,0.48%,2.6,B
Fighter,TOP,62.17,-1.75,51.91%,95.88%,4.12%,2.15%,2.04,S
Marksman,ADC,32.57,1.15,48.93%,92.42%,1.98%,0.17%,2.33,C
Marksman,ADC,65.6,-6.95,51.46%,82.07%,11.72%,18.84%,2.19,S
Marksman,TOP,38.28,-3.59,49.31%,16.10%,2.13%,18.84%,1.53,B
Mage,MID,67.79,20.82,51.96%,71.93%,7.21%,2.91%,2.41,S
Mage,ADC,43.25,6.96,53.47%,17.97%,1.69%,2.91%,2.55,B
Mage,MID,45.1,0.09,51.17%,41.10%,1.19%,0.50%,2.66,B
Mage,SUPPORT,39.14,-0.02,51.03%,53.89%,1.76%,0.50%,2.22,B
Mage,MID,76.44,-0.41,50.67%,84.81%,8.50%,18.90%,2.48,S
Mage,SUPPORT,27.22,-3.09,46.08%,13.85%,1.43%,18.88%,1.96,D
Fighter,JUNGLE,55.99,-2.46,52.49%,96.27%,5.06%,2.15%,2.46,A
Assassin,JUNGLE,87.83,5.35,50.32%,95.78%,13.60%,14.18%,2.51,God
Mage,MID,79.21,-2.25,50.05%,86.06%,10.06%,14.36%,2.3,God
Mage,TOP,32.09,-5.5,49.18%,12.26%,1.33%,14.36%,1.89,C
Mage,MID,53.47,-2.24,50.13%,74.35%,4.26%,5.74%,2.39,A
Mage,TOP,31.85,-1.02,48.86%,24.09%,1.43%,5.74%,2.01,C
Fighter,TOP,52.12,19.91,50.94%,54.41%,3.31%,1.81%,1.97,A
Fighter,JUNGLE,49.51,9.88,52.51%,43.27%,2.85%,1.81%,2.68,A
Fighter,JUNGLE,52.86,0.08,50.29%,76.78%,5.64%,5.41%,2.24,A
Fighter,TOP,33.28,1.93,50.80%,21.75%,1.11%,5.41%,1.91,C
Fighter,TOP,42.31,-0.93,50.55%,77.73%,2.13%,0.60%,2.12,B
Fighter,JUNGLE,28.46,-4.46,47.71%,13.65%,0.35%,0.59%,2.43,D
Marksman,ADC,38.77,-1.77,50.54%,98.17%,3.10%,0.40%,2.35,B
Mage,MID,55.28,2.03,51.28%,39.07%,2.89%,5.18%,3.26,A
Mage,SUPPORT,46.93,-2.76,49.58%,55.82%,4.29%,5.18%,2.53,A
Fighter,JUNGLE,62.72,5.68,50.81%,96.56%,7.85%,5.20%,2.45,S
Fighter,MID,91.15,4.99,50.51%,72.52%,11.65%,24.00%,1.78,God
Fighter,TOP,41.32,1.36,48.22%,16.41%,2.55%,24.00%,1.46,B
Fighter,ADC,32.91,-1.5,49.98%,10.51%,1.62%,24.00%,1.97,C
Assassin,TOP,72.95,1.08,48.70%,38.63%,5.30%,23.93%,1.62,S
Assassin,MID,72.38,-1.79,48.24%,59.62%,8.83%,23.93%,1.85,S
Fighter,TOP,49.59,3.52,52.94%,97.21%,2.69%,2.47%,1.61,A
Support,SUPPORT,87.74,8.01,48.07%,98.86%,10.85%,27.62%,4.1,God
Tank,JUNGLE,55.58,-2.24,50.98%,86.05%,4.24%,2.12%,3.47,A
Assassin,MID,81.36,-9.14,50.77%,71.06%,7.55%,35.39%,2.29,God
Assassin,JUNGLE,39.25,-9.93,47.35%,25.53%,2.48%,35.39%,2.39,B
Marksman,ADC,86.11,0,48.38%,75.27%,17.13%,34.16%,2.23,God
Marksman,MID,43.21,0,46.87%,12.78%,2.69%,34.16%,2.01,B
Mage,MID,41.8,5.36,50.59%,30.03%,0.92%,0.47%,2.45,B
Mage,ADC,41.15,-2.48,52.23%,63.47%,1.89%,0.46%,2.58,B
Support,MID,53.06,0.86,53.20%,21.93%,0.98%,2.00%,3.47,A
Support,SUPPORT,47.14,-2.3,50.10%,73.12%,3.37%,2.00%,3.12,A
Mage,MID,47.71,-2.06,49.43%,94.46%,3.05%,1.17%,2.56,A
Mage,SUPPORT,48.17,-1.39,52.21%,93.51%,3.68%,1.97%,2.16,A
